session_id,signal_class,probe_id,channel_id,channel_index,raw_area_label,canonical_area_label,area_group,area_resolution_status,layer_or_depth_label,source_file,warnings
230629,LFP,0,0,0,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,1,1,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,2,2,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,3,3,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,4,4,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,5,5,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,6,6,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,7,7,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,8,8,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,9,9,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,10,10,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,11,11,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,12,12,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,13,13,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,14,14,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,15,15,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,16,16,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,17,17,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,18,18,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,19,19,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,20,20,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,21,21,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,22,22,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,23,23,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,24,24,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,25,25,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,26,26,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,27,27,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,28,28,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,29,29,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
230629,LFP,0,30,30,V1,V1,Visual,metadata_resolved_equal_segment,estimated_from_channel,session-area-mapping.md,None
